e,identifier,filename,youtubeid,vimeoid,title,,english_title,,date,,duration,format,type,director,producer,production_company,writer,cast,director_of_photography,editor,music,set_design,sound,camera,construction,narrator,contributors,image_restoration,audio_restoration,holding_institution,description,,notes,subject,presentation_title,presenter,presenter_affiliation,,,,,,,location,latitude,longitude,rights,rightsstatement
11,11,,,,Marrow Puncture,,,,1953,,30 min,MOV; 16mm; color; sound,Moving Image,Cyril Jenkins,R. G. Macfarlane,The I. C. I. Film Unit.,,,Cyril Jenkins,,,,,,,,"Produced in the Department of Haematology, Radcliffe Infirmary, Oxford",,,I.C.I.; Wellcome Collection,wellcomecollection.org/works/c4tkunqn,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
12,12,,,,Saturday,,,,1931,,11 min,MOV; 9.5mm; b&w; silent,Moving Image,R. H. Bolton; A. S. Amsden; J. C. Read,,,,,,,,,,,,,,,,Family of Dr. R. H. Boton; Wellcome Collection,wellcomecollection.org/works/y6zghd67,,Excerpts from films in the Wellcome Collection,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
13,13,,,,Home movies of Dr. Bolton. Part 2,,,,1935,,12 min,MOV; color and b&w; silent,Moving Image,R. H. Bolton,,,,,,,,,,,,,,,,Family of Dr. R. H. Boton; Wellcome Collection,wellcomecollection.org/works/kn8wh5at,,"The material comes from the family of Dr. R. H. Bolton who worked at the Peckham Pioneer Health Centre in its early years. In spidery writing on the first can; 'Residents Play Film, Guys 1935', ""My Discovery of Rejuvenin"" by Prof Sneiro (?) Pompholyx (?)",Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
14,14,,,,Doctors’ Hobbies Exhibition,,,,1957,,13 min,"MOV; 16mm, color; sound",Moving Image,,,Benger Film Productions,,,,,,,,,,,,,,Benger Laboratories; Wellcome Collection,wellcomecollection.org/works/c9xft7m6,,Copyright: Benger Laboratories,Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
15,15,,,,"Day Out, Day In",,,,1969,,20 min,MOV; 16mm; color; sound,Moving Image,Victor Menzies,Michael Barden,Crown Office of Information; Department of Health; RHR Productions,Victor Menzies,,Jo Jago,Sheila Willson,,,Robert Allen; Mike Billing; Dave Hill,,,,,,,"Crown, managed by BFI; Wellcome Collection",wellcomecollection.org/works/v33uy4qt,,"Copyright: Crown, managed by BFI",Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
16,16,,,,A Cruel Kindness,,,,1968,,13 min,MOV; 16mm; color; sound,Moving Image,Winifred Holmes,Oswalk Skilbeck,Film Producers Guild; Film Centre (International) Ltd; British Life Assurance Trust for Health Education; British Medical Association,Winifred Holmes,,,,,,,,,,,,,British Medical Association; Wellcome Collection,wellcomecollection.org/works/sx4p4b75,,"An Oswalk Skilbeck production for the Film Producers Guild, made in association with Film Centre (International) Ltd. Produced by the British Life Assurance Trust for Health Education with the British Medical Association.",Orphan Film Symposium 2024: Work and Play,"Medicine at Work and Play: A ‘Hidden Cinema’ (UK, 1931-1968)",Angela Saward,,,,,,,,Museum of the Moving Image,,,,
17,17,,,,Holiday in Mexico,,,,1929,,5 min,MOV; color; silent,Moving Image,,,,,,,,,,,,,,,,,Library of Congress,,,Excerpt,Orphan Film Symposium 2024: Work and Play,Nitrate Multicolor Tests,Courtney Holschuh,Library of Congress,,,,,,,Museum of the Moving Image,,,,
18,18,,,,Unidentified John Jones no. 122,,,,1929,,4 min,MOV; 35mm; color; silent,Moving Image,,,"Multicolor Films, Inc.",,Mary Pickford; Douglas Fairbanks,,,,,,,,,,,,Library of Congress,"Filmed in and around Hotel del Agua Caliente, B.C., Tijuana, Mexico. Intertitles in Spanish and English",,Excerpt,Orphan Film Symposium 2024: Work and Play,Nitrate Multicolor Tests,Courtney Holschuh,Library of Congress,,,,,,,Museum of the Moving Image,,,,
19,19,,,,Fox Movietone Follies of 1929,,,,1929,,1 min,MOV; 35mm; color; sound,Moving Image,David Butler,,Fox Film Corp.,,,Charles Van Enger,,,,,,,,,,,Library of Congress,,,Fragment,Orphan Film Symposium 2024: Work and Play,Nitrate Multicolor Tests,Courtney Holschuh,Library of Congress,,,,,,,Museum of the Moving Image,,,,
20,20,https://s18798.pcdn.co/orphanfilm/wp-content/uploads/sites/75/2024/05/Polaroid-2.png,,,The History of Polaroid,,,,1978,,21 min,"MOV; VHS;  color; sound 
",image,,,Polaroid Personnel Division and the Audio Visual Department,,,,,,,,,,Edwin H. Land; William J. McCune Jr; Helen Cohen; John Donovan; Bill Herman; Irene Lindholm; Don McArdle; Hal Page; Nick Pasquarosa; Bill Plummer; Howie Rogers,"Tony Cardello; Don Fronzaglia; Chick Hart; Alan Ladhams; Mal Trojano
",,,Polaroid Corporation Collection; Baker Library; Harvard Business School,"Original format not identified in the archival record; video contains only still images and audio. 
https://hollisarchives.lib.harvard.edu/repositories/11/archival_objects/2346037",,Head title on video source: Polaroid,Orphan Film Symposium 2024: Work and Play,"Industrializing Vision: The History of Polaroid (1978)
",Patrick Ellis ,University of Tampa ,,,,,,,Museum of the Moving Image,,,,
21,21,,,,Wild Gunman Film D - Main ,,,,1974,,2 min,MOV; 4K scan of 16mm print; color; sound,,Yokoi Gunpei,,Nintendo,,,,,,,,,,,,Benjamin Solovey,Sydney Perkins,,Source: Benjamin Solovey,,,Orphan Film Symposium 2024: Work and Play,Battle Sharks and Wild Gunmen: The Challenges of Film-Based Arcade Games (1974-78),Ben Solovey,Film Preservation Society,,,,,,,Museum of the Moving Image,,,,
22,22,,,,Wild Gunman Film D - Sub,,,,1974,,1 min,MOV; 4K scan of 16mm print; color; sound,,Yokoi Gunpei,,Nintendo,,,,,,,,,,,,Benjamin Solovey,Sydney Perkins,,Source: Benjamin Solovey,,,Orphan Film Symposium 2024: Work and Play,Battle Sharks and Wild Gunmen: The Challenges of Film-Based Arcade Games (1974-78),Ben Solovey,Film Preservation Society,,,,,,,Museum of the Moving Image,,,,
23,23,,,,Sky Hawk [Front Projection],,,,1976,,2 min,MOV; 4K scan of 16mm print; color; sound,,Yokoi Gunpei,,Nintendo,,,,,,,,,,,,Benjamin Solovey,Sydney Perkins,,Source: Benjamin Solovey,,,Orphan Film Symposium 2024: Work and Play,Battle Sharks and Wild Gunmen: The Challenges of Film-Based Arcade Games (1974-78),Ben Solovey,Film Preservation Society,,,,,,,Museum of the Moving Image,,,,
24,24,,,,LSD: Dream Emulator,,,,1998,,,Video game for PlayStation 1,,Osamu Sato,,,,,,,,,,,,,,,,,Source: Sarah Bashir; Patrick Vonderau,,See Asmik Ace: https://archive.org/details/psx_lsd and other emulators at the Interrnet Archive.,Orphan Film Symposium 2024: Work and Play,Working Memory: Rethinking Orphan Works in Light of Interactivity.,Sarah Bashir;  Patrick Vonderau,Martin Luther University Halle-Wittenberg,,,,,,,Museum of the Moving Image,,,,
25,25,https://s18798.pcdn.co/orphanfilm/wp-content/uploads/sites/75/2024/04/IMAGE-1.png,,,Flander’s Tales: Stormy Night,,,,1930-1940,,2 min,MOV; Paper print; b&w; 26-28mm; silent;,image,,Katei Toki,,,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,In Japanese with English subtitles.,,"The Japanese Paper Film Project, see kamifirumu.scholar.bucknell.edu",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
26,26,,,,Silent Japanese Paper Films,,,,1930-1940,,,MOV; Paper print; color; 26-28mm; silent;,,,,,,,,,Yoko Reikano Kimura (koto player) live accompaniment,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Machiko Kusahara collection; Bucknell University,,,"The Japanese Paper Film Project, see kamifirumu.scholar.bucknell.edu",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
27,27,,,,Otsuki - Mr. Moon,,,,1930-1940,,2 min,MOV; Paper print; color; 26-28mm; silent;,,,,"104-B REFCY; レフシー
",,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,"The Japanese Paper Film Project, see kamifirumu.scholar.bucknell.edu",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
28,28,https://s18798.pcdn.co/orphanfilm/wp-content/uploads/sites/75/2024/04/IMAGE-4-1536x1365.png,,,"Paradise on a Deserted Island, Part 1",,,,1930-1940,,2 min.,MOV; Paper print; b&w; 26-28mm; silent;,image,,,REFCY,,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,"The Japanese Paper Film Project, see kamifirumu.scholar.bucknell.edu",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
29,29,,,,Urashima Tarō,,,,1930-1940,,2 min.,MOV; Paper print; color; 26-28mm; silent;,,,,Katei Toki 108-A,,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,"The Japanese Paper Film Project, see kamifirumu.scholar.bucknell.edu",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
30,30,https://s18798.pcdn.co/orphanfilm/wp-content/uploads/sites/75/2024/04/IMAGE-1.png,,,Raccoon Dog Balloon ,,,,1930-1940,,2 min.,MOV; Paper print; color; 26-28mm; silent;,image,,,REFCY,,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,"The Japanese Paper Film Project, see kamifirumu.scholar.bucknell.edu",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
31,31,,,,Genroku Kaikyo Daichūshingura,,,,1930,,2 min.,MOV; Paper print; b&w; 26-28mm; silent;,,Tomiyasu Ikeda,,Nikkatsu Uzumasa Studio; REFCY,,Denjirô Ôkôchi,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,Machiko Kusahara Collection; Bucknell University,"“Believed to be Genroku Kaikyo Daichushingura (Tomiyasu Ikeda, 1930) starring Denjirô Ôkôchi, a variant on the 47 Rōnin story. The original 35mm print is lost. Thus, this paper film represents some of the only surviving footage from this feature film.” [“A double orphan!”] -- Eric Faden",,,Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
32,32,https://s18798.pcdn.co/orphanfilm/wp-content/uploads/sites/75/2024/04/IMAGE-1.png,,,Train Trip,,,,1930-1940,,2 min.,MOV; Paper print; color; 26-28mm; silent;,image,,,Katei Toki,,,,,"Crown Records, 108-A [Lost]",,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,,Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
33,33,,,,Kappa Odori,,,,1930,,2 min,MOV; Paper print; color; 26-28mm; silent;,,,,REFCY,,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,Machiko Kusahara Collection; Bucknell University,"“While some Japanese paper films have custom soundtracks, other paper films designate a record to accompany the film. Kappa Odori is incomplete but scholar Machiko Kusahara suggests it references the 1933 popular song ‘Tokyo Ondo’ written by Shinpei Nakayama (lyrics by Yaso Saijō) and performed by Katsutaro Kouta and Mishima Issei. Thus, we have paired the two together.” – Eric Faden",,"Audio Source Tokyo Ondo” (1933) Sung by Kouta Katsutaro, Mishima Issei, Victor 52793-A, Victor Talking Machine Co. of Japan.",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
34,34,,,,Military Parade Part 1,,,,1930-1940,,3 min,MOV; Paper print; color; 26-28mm; silent;,,,,,Sakai Haruo,,,,,,,,,,"Animated by Iwata Yusuke; Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,,Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
35,35,,,,Limited Express Chūshingura Part,,,,1930,,4 min,MOV; Paper print; color; 26-28mm; sound;,,,,Katei Toki,,,,,,,,,,,"Scanner Engineering: Alina Arko, Nate Siegel; 
Software: Yuhan Chen, Jackson Rubiano, Joshua Stough;
Film Assistance: Daniel Nienhuis, Harry Winter, John Ogunwomoju; Audio engineering: Ryan Hullings;
Research and Translation: Elizabeth Armstrong;
Partners: Yoneo Ota, Fumiyo Ota (The Toy Film Museum), Tsuyoshi Yamabata (Itabashi Science Museum)
",,,The Toy Film Museum (Kyoto); Bucknell University,,,"Notes: “includes a synchronized soundtrack of music, sound effects, and benshi narration. A fictional retelling of the 47 Rōnin -- a story based on the killing of Kira Yoshinaka by 47 lordless samurai who were avenging their master's death.” – Eric Faden",Orphan Film Symposium 2024: Work and Play,Preserving and Presenting Japanese Paper Films,Eric Faden; Jackson Rubiano,Bucknell University,,,,,,,Museum of the Moving Image,,,,
36,36,,,,News Report ’72 No. 45,,新闻简报72年45号,,1972,,10 min,8.75mm; color; sound,,,,Central News and Documentary Film Studio,,,,,,,,,,,,,,Personal Collection,,,,Orphan Film Symposium 2024: Work and Play,Thinking Out of Sync: A Presentation of the Chinese Obsolete Film Format 8.75mm,Ann Lyuwenyu Zhang; Dino Everett,New York University; University of Southern California,,,,,,,Museum of the Moving Image,,,,
37,37,,,,Little Trumpet Player,,小号手,,1973,,40 min.,8.75mm; color; sound,,Shuchen Wang; Dingxian Yan,,Shanghai Animation Film Studio,,,,,,,,,,,,,,Personal Collection,,,,Orphan Film Symposium 2024: Work and Play,Thinking Out of Sync: A Presentation of the Chinese Obsolete Film Format 8.75mm,Ann Lyuwenyu Zhang; Dino Everett,New York University; University of Southern California,,,,,,,Museum of the Moving Image,,,,
38,38,,,,Formosan New Years procession/ parade--outtakes,,,,1930,,15 min,35mm; b&w; sound,,,,Fox Movietone News,,,,,,,Paul Heise,Eric Mayell,,,,,,University of South Carolina Moving Image Research Collections,,,,Orphan Film Symposium 2024: Work and Play,Unveiling the True Face of a Parade,Klavier Wang,National Yang Ming Chiao Tung University,,,,,,,Museum of the Moving Image,,,,
39,39,,,,Autogenous Welding,,La Soldadura Autógena (Trabajos autógenos sobre metales),,~1939,,14 min,35mm; tinted; silent; MOV,,,,International Technical Committee for Carbide and Autogenous Welding,,Juan Haeberli,,,Fernando Kabusacki,,,,,,,,,,"German and Spanish intertitles. Music by Fernando Kabusacki added 2024. 
",,"Two prints deaccessioned from the library of Casa de la Colectividad de Inmigrantes Suizos (Swiss Immigrant Community House), Rosario, Argentina. Digitized by Museo del Cine Pablo C. Ducrós Hickén. Copia A, 103 min. Copia B, 56 min.
",Orphan Film Symposium 2024: Work and Play,La Soldadura Autógena (Trabajos autógenos sobre metales),Sofía Elizalde,,,,,,,,Museum of the Moving Image,,,,
40,40,,,,Home movies of Yuri Soloviev,,,,1960s,,"1 min
",16mm; b&w; silent ,,,Yuri Soloviev,,,,,,,,,,,,,,,Private collection; Yuri Soloviev and Tatiana Legat Home Movies,,,"Scanned by Maria Vinogradova (Filmic EZ 16); reel 20 by AV Geeks  
",Orphan Film Symposium 2024: Work and Play,A Life Worth Filming: Soviet Ballet Dancers and Their 8mm Cameras ,Maria Vinogradova,New York University; Pratt Institute,,,,,,,Museum of the Moving Image,,,,
41,41,,,,Yuri Soloviev films of Paris travel,,,,1960s,,,8mm; color; silent,,,Yuri Soloviev,,,Rudolf Nureyev,,,,,,,,,,,,Private collection; Yuri Soloviev and Tatiana Legat Home Movies,,,"Scanned by Maria Vinogradova (Filmic EZ 16); reel 20 by AV Geeks  
",Orphan Film Symposium 2024: Work and Play,A Life Worth Filming: Soviet Ballet Dancers and Their 8mm Cameras ,Maria Vinogradova,New York University; Pratt Institute,,,,,,,Museum of the Moving Image,,,,
42,42,,,,"Reel S-001 Yuri Solovier home movies – beach scenes, Golovinka",,,,1968,,13 min,8mm; color; silent,,,Yuri Soloviev,,,"Tatiana Legat; Yuri Soloviev; daughter Alyona; brother Igor Soloviev; Mikhail Baryshnikov
",,,,,,,,,,,,Private collection; Yuri Soloviev and Tatiana Legat Home Movies,,,"Scanned by Maria Vinogradova (Filmic EZ 16); reel 20 by AV Geeks  
",Orphan Film Symposium 2024: Work and Play,A Life Worth Filming: Soviet Ballet Dancers and Their 8mm Cameras ,Maria Vinogradova,New York University; Pratt Institute,,,,,,,Museum of the Moving Image,,,,
43,43,,,,"Reel S-020, fragment 2 – Tatiana Legat home movies – at the dacha]",,,,1970s,,13 min,MOV; 8mm; color; silent,,,Tatiana Legat,,,Tatiana Legat; Yuri Soloviev; their daughter Alyona,,,,,,,,,,,,Private collection; Yuri Soloviev and Tatiana Legat Home Movies,,,"Scanned by Maria Vinogradova (Filmic EZ 16); reel 20 by AV Geeks  
",Orphan Film Symposium 2024: Work and Play,A Life Worth Filming: Soviet Ballet Dancers and Their 8mm Cameras ,Maria Vinogradova,New York University; Pratt Institute,,,,,,,Museum of the Moving Image,,,,
